alpha3,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,wept_mean,wept_std,share_social_media_mean,share_social_media_entropy,alpha2,country_standard,country,best_intv_belief_cc,best_intv_policy_support,best_intv_share_social_media,best_intv_wept,belief_cc_mean_rank,belief_cc_std_rank,policy_support_mean_rank,policy_support_std_rank,wept_mean_rank,wept_std_rank,share_social_media_mean_rank,share_social_media_entropy_rank
MKD,58.9856953243234,54.4983751960727,59.5284496692053,49.9197834134197,54.5206160061039,84.0533740634535,14.5170835122492,77.2570199837982,MK,North Macedonia,northmacedonia,BindingMoral,DynamicNorm,CollectAction,SciConsens,25,37,30,47,57,32,53,33
NGA,68.92979534927,34.9774969650324,80.9060314768592,44.4004189129821,86.2987996364798,81.1698212613691,89.8175566218385,37.6618370649351,NG,Nigeria,nigeria,PsychDistance,Letter2Future,Letter2Future,FutureSelfCont,15,53,11,53,16,41,7,57
NLD,25.7014332203192,74.2573413912874,47.0717503229019,68.603611875167,60.9282374642144,86.1179209447008,4.19131683839438,56.6610639700188,NL,Netherlands,netherlands,DynamicNorm,Letter2Future,Letter2Future,Control,52,14,44,18,50,26,59,46
NOR,10.4540575934574,85.759550223285,29.6591994965045,75.9829220051527,88.7925487887474,81.9567604278429,2.35308213762522,52.1341609190189,NO,Norway,norway,Letter2Future,Letter2Future,Control,BindingMoral,59,4,56,8,13,38,61,51
NZL,20.7317279019746,80.134021183136,31.7063741475589,72.7763610728873,77.6796681752295,91.5076255412265,26.9893209317567,92.833872608108,NZ,New Zealand,newzealand,PsychDistance,FutureSelfCont,SciConsens,SciConsens,56,6,54,11,29,13,42,10
PER,65.8324244664185,45.9959472342918,57.6454395015998,55.4943607200456,69.7021956002199,82.9425326362918,83.1089171340234,55.8691228807396,PE,Peru,peru,SystemJust,DynamicNorm,NegativeEmotions,Identity-Social-Norms-Intervention,18,43,34,32,41,35,12,48
PHL,100,0,83.5422149955421,50.161738539208,93.8652680401708,65.276555061839,62.3753487562931,90.555100169006,PH,Philippines,philippines,Identity-Social-Norms-Intervention,CollectAction,BindingMoral,Control,1,63,10,46,6,56,29,15
POL,35.7968509759426,73.8332756789625,45.5604357774163,66.3671297779716,89.0613304690094,75.1303204312603,24.2831696863584,90.2345744714852,PL,Poland,poland,DynamicNorm,CollectAction,PsychDistance,SystemJust,41,15,46,20,12,47,45,17
PRT,89.1549769852829,15.5682996400314,74.7177531850198,26.1657096999217,69.1552664628624,72.2584841320222,24.4411981383522,90.3978212472574,PT,Portugal,portugal,PsychDistance,PsychDistance,NegativeEmotions,CollectAction,2,61,18,59,44,52,44,16
ROU,44.5114901881577,84.0626158167765,53.4568781839712,67.0916911633296,83.1620332748366,83.0074944155876,1.59847871302619,50.1913689314465,RO,Romania,romania,SciConsens,SciConsens,Letter2Future,CollectAction,34,5,38,19,19,34,62,54
RUS,25.904682080039,68.9417373506841,26.8392919082511,59.0338189109632,66.9546333531976,89.6868312012908,11.8704546713599,72.7024924395475,RU,Russian Federation,russia,NegativeEmotions,CollectAction,NegativeEmotions,SciConsens,51,23,58,28,46,18,56,37
SAU,4.81029497710877,76.8623460242281,18.7108560960672,80.4113551503522,90.3590194732064,76.1948319906462,84.2410272456841,53.083609808905,SA,Saudi Arabia,saudiarabia,DynamicNorm,Control,BindingMoral,DynamicNorm,61,12,61,5,8,44,11,50
SDN,31.5623291288968,44.4881358634387,68.8107462497043,43.3048157201239,55.3568990520038,95.2438858181802,65.4730660769856,87.1187721665323,SD,Sudan,sudan,NegativeEmotions,NegativeEmotions,DynamicNorm,CollectAction,45,45,23,55,55,5,25,23
SGP,46.739310297411,38.511516148861,56.1916557400102,44.2495304104534,57.2032145513983,99.9045615260592,68.5579848925862,83.1318791082836,SG,Singapore,singapore,PsychDistance,SciConsens,Control,BindingMoral,33,51,35,54,53,2,23,29
SRB,66.4789176314956,61.0427331055724,73.6601225013135,49.198963411554,97.8939427682584,53.1650744943355,10.2067569946688,69.5948254679725,RS,Serbia,serbia,DynamicNorm,FutureSelfCont,Identity-Social-Norms-Intervention,CollectAction,17,32,20,48,3,62,57,38
SVK,24.5775761750967,77.0196520489095,21.4320048950257,64.3753567947675,100,63.365147293806,17.8527902671546,82.346927464401,SK,Slovakia,slovakia,Control,CollectAction,NegativeEmotions,Letter2Future,53,11,59,23,1,57,52,30
SVN,26.9543851637322,67.2617800866341,44.4554322151425,54.330750180129,49.0395955836341,84.029081332168,47.8996071731873,99.5340470644585,SI,Slovenia,slovenia,PsychDistance,BindingMoral,PluralIgnorance,Control,49,24,47,38,59,33,37,4
SWE,20.2874002105778,77.4005368432743,27.524900040203,75.8609814891745,60.8977065661991,96.9834897631806,47.0158056549238,99.7183527609925,SE,Sweden,sweden,PsychDistance,PsychDistance,DynamicNorm,SciConsens,57,10,57,9,51,4,38,3
THA,32.5057762583509,69.1682727169668,59.0439217127383,84.9520178949131,89.9905217494166,75.0636813753209,82.4019293711238,57.5542252684431,TH,Thailand,thailand,SystemJust,CollectAction,DynamicNorm,CollectAction,42,21,31,2,11,48,15,44
