share_sm,age,gender,education_level,income_level,cond,ResponseId,country,finished,condName,belief_in_cc,policy_support,wept,country_standard,alpha2,alpha3,share_sm_jittered
,35.0,2.0,2.0,1.0,6,R_1Ejk27WOHBp2Jko,usa,1,SystemJust,2.0,3.555555555555556,0.0,United States,US,USA,
0.0,67.0,2.0,3.0,5.0,3,R_1IMH2aloX8Ohlmz,usa,1,NegativeEmotions,8.75,9.333333333333334,0.0,United States,US,USA,0.052769995393033856
,66.0,2.0,3.0,4.0,10,R_2ZQ64S0M2lwIhlU,usa,1,DynamicNorm,82.0,62.5,8.0,United States,US,USA,
0.0,71.0,1.0,3.0,3.0,6,R_3JxXgdsSWz6S58t,usa,1,SystemJust,100.0,99.44444444444444,0.0,United States,US,USA,-0.061693000513057095
,58.0,2.0,3.0,3.0,5,R_2rpzLUZqji57Guz,usa,1,CollectAction,91.25,90.88888888888889,8.0,United States,US,USA,
1.0,25.0,1.0,4.0,6.0,12,R_3sys83ISEv8XzmM,usa,1,BindingMoral,90.5,89.88888888888889,4.0,United States,US,USA,0.738230122059889
0.0,50.0,2.0,2.0,4.0,6,R_1okg3somNtNMFaB,usa,1,SystemJust,100.0,47.125,0.0,United States,US,USA,0.3729393181212741
,69.0,1.0,3.0,2.0,11,R_2V8iwYHvOMUNu1X,usa,1,FutureSelfCont,88.0,84.22222222222223,4.0,United States,US,USA,
0.0,27.0,1.0,5.0,6.0,4,R_pt28FBMFQAZagYV,usa,1,SciConsens,88.5,85.22222222222223,8.0,United States,US,USA,-0.0750890788328535
1.0,36.0,2.0,4.0,7.0,7,R_1mC5wQp8rPYzndt,usa,1,PsychDistance,54.25,58.22222222222222,8.0,United States,US,USA,0.9514973636289688
1.0,59.0,2.0,2.0,2.0,3,R_23VLnTyrbR6cuzl,usa,1,NegativeEmotions,100.0,85.5,3.0,United States,US,USA,0.6386959131926555
,66.0,2.0,3.0,3.0,10,R_PSZcSnPAEkGTsDT,usa,1,DynamicNorm,16.0,15.555555555555555,8.0,United States,US,USA,
1.0,69.0,2.0,2.0,4.0,1,R_1Q0JBi1pA5p0kym,usa,1,Control,54.75,51.375,8.0,United States,US,USA,1.0913597401597237
0.0,52.0,2.0,2.0,4.0,6,R_3kEoiKwtW5TxJoR,usa,1,SystemJust,100.0,92.44444444444444,1.0,United States,US,USA,0.07619785591593223
,71.0,1.0,3.0,5.0,11,R_1eLSnMkjR2pQX2O,usa,1,FutureSelfCont,6.5,28.33333333333333,8.0,United States,US,USA,
1.0,36.0,1.0,3.0,8.0,2,R_2WPb6xREqPt88jZ,usa,1,Identity-Social-Norms-Intervention,93.75,17.11111111111111,8.0,United States,US,USA,0.9369686958595489
,35.0,2.0,3.0,6.0,3,R_31Kw89E2YBJoyh4,usa,1,NegativeEmotions,91.75,75.22222222222223,1.0,United States,US,USA,
1.0,68.0,2.0,3.0,2.0,12,R_CmfHIeKcwmnkRj3,usa,1,BindingMoral,100.0,88.88888888888889,8.0,United States,US,USA,0.9537393519837423
1.0,70.0,2.0,2.0,5.0,11,R_1FljrzSQThSZysK,usa,1,FutureSelfCont,100.0,90.0,8.0,United States,US,USA,0.9808090476885756
1.0,60.0,2.0,3.0,5.0,4,R_1meYFU10NGz1rpu,usa,1,SciConsens,57.5,59.55555555555556,4.0,United States,US,USA,0.8720150145860162
0.0,21.0,2.0,3.0,9.0,6,R_1dLjcAloeE9m65i,usa,1,SystemJust,0.0,11.11111111111111,0.0,United States,US,USA,-0.09411134435727281
1.0,43.0,2.0,4.0,5.0,12,R_28Z3mdi5nAnAjJP,usa,1,BindingMoral,71.0,33.55555555555556,8.0,United States,US,USA,0.8764100130127168
1.0,40.0,1.0,4.0,7.0,9,R_2tEBVxYXnkBEBJH,usa,1,Letter2Future,46.75,60.77777777777778,8.0,United States,US,USA,1.0662651604824203
1.0,42.0,1.0,2.0,6.0,9,R_30hF4biVEyVaV2O,usa,1,Letter2Future,90.25,90.22222222222224,5.0,United States,US,USA,1.0668067773130916
0.0,65.0,2.0,2.0,5.0,3,R_3EWKdjnYAxHl42i,usa,1,NegativeEmotions,39.75,22.88888888888889,8.0,United States,US,USA,0.14984081382541828
,74.0,1.0,3.0,4.0,12,R_eW20eHgDtQxwsEh,usa,1,BindingMoral,84.5,42.77777777777778,0.0,United States,US,USA,
1.0,52.0,2.0,3.0,3.0,6,R_2TmBS8JiXkAelLH,usa,1,SystemJust,83.25,82.5,0.0,United States,US,USA,0.8182867926200111
0.0,63.0,2.0,3.0,4.0,4,R_qK6z6VFNMMs7WiR,usa,1,SciConsens,75.75,65.33333333333333,8.0,United States,US,USA,-0.03424768906098195
,63.0,1.0,4.0,5.0,8,R_2y8ZOjd9AXPGpKD,usa,1,PluralIgnorance,71.25,62.44444444444444,1.0,United States,US,USA,
0.0,72.0,2.0,3.0,4.0,2,R_3CBFwrnFGiz2KCl,usa,1,Identity-Social-Norms-Intervention,4.0,25.22222222222222,7.0,United States,US,USA,0.24255095569167906
0.0,68.0,2.0,4.0,4.0,4,R_3xWV436XSxAh0EV,usa,1,SciConsens,86.25,50.22222222222222,4.0,United States,US,USA,0.11756844806949959
1.0,37.0,1.0,3.0,7.0,8,R_2BroOaNVmnDCt9o,usa,1,PluralIgnorance,98.0,92.5,8.0,United States,US,USA,0.8293182865487471
0.0,64.0,2.0,4.0,5.0,5,R_esRKcrgxBhuOMIF,usa,1,CollectAction,100.0,55.5,8.0,United States,US,USA,-0.006839172710041346
1.0,40.0,1.0,3.0,6.0,7,R_2E9QpEBF6zN9hSo,usa,1,PsychDistance,93.0,92.11111111111111,8.0,United States,US,USA,0.9616363028050482
,33.0,2.0,3.0,3.0,11,R_cZwBJjuCver2djj,usa,1,FutureSelfCont,53.5,44.888888888888886,8.0,United States,US,USA,
0.0,46.0,1.0,3.0,4.0,9,R_2SjJiTYRgoOvjl0,usa,1,Letter2Future,57.25,60.44444444444444,0.0,United States,US,USA,0.08131104930287304
0.0,63.0,1.0,2.0,3.0,4,R_riIgKpi9qwR5htf,usa,1,SciConsens,3.0,6.111111111111111,0.0,United States,US,USA,0.1641403574071877
1.0,30.0,1.0,4.0,6.0,3,R_798a0FkBMWD9t6N,usa,1,NegativeEmotions,59.0,45.0,8.0,United States,US,USA,1.0123008141042145
,59.0,1.0,4.0,1.0,11,R_23TqKDN46A7exs0,usa,1,FutureSelfCont,100.0,100.0,5.0,United States,US,USA,
1.0,32.0,2.0,3.0,5.0,3,R_2P5RIWYhdncOaq2,usa,1,NegativeEmotions,63.0,57.44444444444444,1.0,United States,US,USA,0.8216468132697254
1.0,35.0,1.0,3.0,6.0,6,R_2xEl9Tvf9HZFnh3,usa,1,SystemJust,78.0,85.0,8.0,United States,US,USA,0.7607063836825593
1.0,36.0,2.0,3.0,6.0,2,R_YVVc2pfHc0zknkZ,usa,1,Identity-Social-Norms-Intervention,80.0,92.22222222222224,1.0,United States,US,USA,1.0807942208659476
0.0,61.0,2.0,3.0,1.0,8,R_6m6yLDMsf5tZHIB,usa,1,PluralIgnorance,59.0,47.85714285714285,0.0,United States,US,USA,0.17824820987682397
1.0,30.0,2.0,3.0,4.0,7,R_2VL5ltqA3D4PoKU,usa,1,PsychDistance,75.25,70.88888888888889,2.0,United States,US,USA,0.8915272137962158
0.0,52.0,2.0,2.0,6.0,2,R_6X4nXlBUxXjYGjf,usa,1,Identity-Social-Norms-Intervention,8.75,17.75,1.0,United States,US,USA,0.13423216862265966
1.0,42.0,1.0,4.0,7.0,5,R_8qbp62kWTY6S0PT,usa,1,CollectAction,100.0,100.0,8.0,United States,US,USA,1.1401634254186228
1.0,41.0,2.0,4.0,7.0,8,R_8BcfDXICQ4pGeHv,usa,1,PluralIgnorance,81.0,78.66666666666667,1.0,United States,US,USA,1.0649593633129033
1.0,47.0,2.0,3.0,5.0,11,R_3qEe9FRUA5TCYNf,usa,1,FutureSelfCont,63.75,55.22222222222222,0.0,United States,US,USA,1.1600536874148581
1.0,33.0,1.0,3.0,5.0,6,R_2QRNXx2vFulZCdK,usa,1,SystemJust,89.25,96.66666666666669,2.0,United States,US,USA,0.913504845020521
,66.0,1.0,2.0,4.0,12,R_1EbwEjwMDjfcgsH,usa,1,BindingMoral,0.0,9.22222222222222,0.0,United States,US,USA,
0.0,54.0,2.0,3.0,5.0,8,R_2WuL6WFCzq4Jt7N,usa,1,PluralIgnorance,96.75,26.55555555555556,0.0,United States,US,USA,0.10632484600427944
,66.0,1.0,2.0,4.0,5,R_sSeOq7as3M21qOB,usa,1,CollectAction,97.25,86.77777777777777,8.0,United States,US,USA,
1.0,43.0,1.0,3.0,3.0,7,R_2Y6fW6OctF8Ne1x,usa,1,PsychDistance,86.0,83.11111111111111,1.0,United States,US,USA,1.1591982742210447
0.0,31.0,2.0,4.0,7.0,3,R_DH14Q6VttjYrVKN,usa,1,NegativeEmotions,73.75,41.77777777777778,8.0,United States,US,USA,0.21107422998545447
1.0,39.0,2.0,2.0,1.0,5,R_1Ojcwqh6wtWfjAi,usa,1,CollectAction,63.75,64.22222222222223,8.0,United States,US,USA,0.7157754904813038
1.0,60.0,2.0,3.0,5.0,6,R_2akOdv3xSUmlFof,usa,1,SystemJust,100.0,91.66666666666669,8.0,United States,US,USA,1.0527645143244453
,68.0,2.0,3.0,4.0,4,R_3hzEWXDB8eiiWh6,usa,1,SciConsens,100.0,75.55555555555556,8.0,United States,US,USA,
1.0,36.0,1.0,4.0,8.0,6,R_1ey1rAzHgjMuSWD,usa,1,SystemJust,39.5,53.888888888888886,2.0,United States,US,USA,1.173501648685987
1.0,45.0,2.0,2.0,2.0,2,R_22D3mTNPTIuQlDH,usa,1,Identity-Social-Norms-Intervention,53.5,,8.0,United States,US,USA,0.9639735730967943
0.0,65.0,2.0,2.0,2.0,12,R_ZzcWZJPiw7RlKcp,usa,1,BindingMoral,77.0,38.875,8.0,United States,US,USA,0.145831959823566
,19.0,4.0,2.0,5.0,1,R_AjQsPrpTA07lwbf,usa,1,Control,82.25,84.14285714285714,8.0,United States,US,USA,
,57.0,1.0,3.0,6.0,1,R_PBrPAqEb2nSojXH,usa,1,Control,1.0,1.625,8.0,United States,US,USA,
,70.0,2.0,3.0,6.0,10,R_2uCZ1mSBvNX5Jk7,usa,1,DynamicNorm,50.5,61.44444444444444,8.0,United States,US,USA,
1.0,37.0,1.0,4.0,8.0,1,R_eExmNgVBL8vIgil,usa,1,Control,84.5,77.88888888888889,8.0,United States,US,USA,1.0302646455433753
1.0,41.0,1.0,2.0,3.0,4,R_2YzGnQ1bTHkSxL6,usa,1,SciConsens,71.0,60.0,8.0,United States,US,USA,1.1436035254799854
,66.0,2.0,3.0,9.0,2,R_ymdzOJAKiU3CDe1,usa,1,Identity-Social-Norms-Intervention,95.75,69.33333333333333,8.0,United States,US,USA,
1.0,44.0,2.0,4.0,6.0,4,R_vIYnNFInQ9Gozjr,usa,1,SciConsens,98.5,84.0,8.0,United States,US,USA,0.84007817995036
0.0,38.0,2.0,2.0,5.0,3,R_3fZcQ4OrYi6Y3wi,usa,1,NegativeEmotions,45.75,55.0,0.0,United States,US,USA,-0.00795271813096988
1.0,30.0,1.0,3.0,6.0,8,R_doIX4uFLqMkZ08V,usa,1,PluralIgnorance,100.0,95.11111111111111,8.0,United States,US,USA,0.8931201452209051
1.0,22.0,1.0,3.0,9.0,2,R_24oPnCOa4bwcv7V,usa,1,Identity-Social-Norms-Intervention,99.75,92.55555555555556,8.0,United States,US,USA,1.0279456427583606
,36.0,2.0,3.0,5.0,5,R_UGtoAOveQOPLXtn,usa,1,CollectAction,98.5,92.88888888888889,2.0,United States,US,USA,
