,country,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,share_social_media_mean,share_social_media_entropy,wept_mean,wept_std,best_intv_belief_cc,best_intv_policy_support,best_intv_share_social_media,best_intv_wept,alpha3
58,unitedarabemirates,77.11,22.06,69.16,18.39,82.02,67.96,5.83,3.14,CollectAction,CollectAction,BindingMoral,NegativeEmotions,ARE
1,armenia,84.57,18.67,69.76,17.03,32.41,90.88,3.43,3.34,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,ARM
2,australia,76.19,25.62,70.07,19.98,44.87,99.24,5.5,3.35,PsychDistance,PsychDistance,SystemJust,PluralIgnorance,AUS
3,austria,76.33,24.61,66.69,20.07,26.65,83.64,3.89,3.52,SciConsens,DynamicNorm,DynamicNorm,PsychDistance,AUT
4,belgium,74.78,23.72,65.8,18.57,34.14,92.61,5.03,3.47,PluralIgnorance,FutureSelfCont,CollectAction,DynamicNorm,BEL
6,bulgaria,79.59,23.89,72.17,19.47,62.9,95.15,5,3.41,CollectAction,CollectAction,CollectAction,BindingMoral,BGR
5,brazil,87.64,18.89,78.65,17.27,71.86,85.74,5.24,3.38,SciConsens,Letter2Future,SystemJust,Letter2Future,BRA
7,canada,84.71,20.41,70.85,17.41,35.63,93.96,4.62,3.37,PsychDistance,CollectAction,PsychDistance,NegativeEmotions,CAN
50,switzerland,79.17,23.06,68.19,19.62,25.77,82.33,4.91,3.42,CollectAction,PsychDistance,Identity-Social-Norms-Intervention,SciConsens,CHE
8,chile,87.8,19.03,78.5,16.63,73.36,83.62,6.03,3.06,SciConsens,FutureSelfCont,FutureSelfCont,DynamicNorm,CHL
9,china,85.44,11.89,75.89,12.4,80.27,71.65,5.6,3.1,PsychDistance,CollectAction,SystemJust,BindingMoral,CHN
10,czechia,83.87,22.05,67.97,17.49,18.86,69.86,5.16,3.26,NegativeEmotions,NegativeEmotions,Letter2Future,Letter2Future,CZE
16,germany,77.09,25.69,66.07,21.31,31.41,89.78,4.58,3.55,NegativeEmotions,CollectAction,FutureSelfCont,BindingMoral,DEU
11,denmark,75.5,24.46,68.78,20.68,51.01,99.97,4.93,3.58,SciConsens,PsychDistance,NegativeEmotions,SystemJust,DNK
0,algeria,79.86,21.83,75.22,15.92,71.72,85.92,4.45,3.46,Identity-Social-Norms-Intervention,CollectAction,FutureSelfCont,CollectAction,DZA
12,ecuador,85.72,20.25,73.38,17.85,88.93,50.2,4.42,3.41,PsychDistance,PsychDistance,NegativeEmotions,SystemJust,ECU
46,spain,82.94,23.58,74.39,19.48,53.9,99.56,5.44,3.23,CollectAction,CollectAction,CollectAction,FutureSelfCont,ESP
13,finland,73.84,25.47,62.84,20.66,34.74,93.17,3.57,3.5,PsychDistance,SystemJust,PsychDistance,PluralIgnorance,FIN
14,france,81.57,20.18,69.56,17.32,64.24,94.07,5.12,3.45,CollectAction,CollectAction,Letter2Future,SystemJust,FRA
56,uk,78.65,22.66,71.13,18.97,54.32,99.46,4.6,3.46,FutureSelfCont,FutureSelfCont,Letter2Future,BindingMoral,GBR
17,ghana,89.21,15.38,77.56,15.25,84.04,63.32,4.99,3.44,PsychDistance,BindingMoral,SciConsens,SciConsens,GHA
15,gambia,87.44,17.47,76.53,16.83,88.02,52.88,3.85,3.47,NegativeEmotions,CollectAction,CollectAction,PluralIgnorance,GMB
18,greece,76.37,24.47,69.36,17.41,66.07,92.42,5.03,3.41,FutureSelfCont,FutureSelfCont,Letter2Future,PluralIgnorance,GRC
19,india,86.85,13.2,77.94,12.05,79.84,72.52,2.65,3.25,NegativeEmotions,SystemJust,NegativeEmotions,Letter2Future,IND
20,ireland,81.54,21.59,71.7,17.24,64.85,93.54,2.98,3.33,PsychDistance,PluralIgnorance,PsychDistance,DynamicNorm,IRL
21,israel,69.2,28.23,66.98,18.99,32.48,90.95,4.57,3.36,CollectAction,CollectAction,BindingMoral,SciConsens,ISR
22,italy,88.07,17.25,73.12,15.78,56.8,98.66,5.73,3.07,PsychDistance,PsychDistance,PsychDistance,PluralIgnorance,ITA
23,japan,74.98,22.64,58.51,17.02,23.43,78.54,4.97,3.52,FutureSelfCont,Letter2Future,CollectAction,SciConsens,JPN
24,kenya,88.23,14.89,73.48,17.04,93.43,34.97,5.37,3.18,Letter2Future,CollectAction,BindingMoral,BindingMoral,KEN
45,South Korea,82.46,18.35,71.57,15.87,77.94,76.12,5.59,3.31,PsychDistance,CollectAction,CollectAction,PluralIgnorance,KOR
47,srilanka,85.46,15.17,78.58,12.77,64.13,94.16,4.57,3.45,Letter2Future,Letter2Future,NegativeEmotions,SystemJust,LKA
25,latvia,68.47,30.41,62.17,21.38,16.58,64.81,4.41,3.21,FutureSelfCont,Letter2Future,SystemJust,DynamicNorm,LVA
27,morocco,79.77,22.14,74.55,18.35,77.33,77.22,4.28,3.49,Letter2Future,FutureSelfCont,Identity-Social-Norms-Intervention,PluralIgnorance,MAR
26,mexico,89.03,14.6,76.03,16.18,90.98,43.73,5.29,3.38,FutureSelfCont,CollectAction,SciConsens,DynamicNorm,MEX
31,northmacedonia,84.31,20.39,71.92,16.57,27.74,85.19,3.83,3.37,BindingMoral,DynamicNorm,CollectAction,SciConsens,MKD
30,nigeria,86.98,16.09,76.73,15.74,85.6,59.45,5.4,3.34,PsychDistance,Letter2Future,Letter2Future,FutureSelfCont,NGA
28,netherlands,75.37,24.74,69.11,19.39,19.8,71.8,4.14,3.4,DynamicNorm,Letter2Future,Letter2Future,BindingMoral,NLD
32,norway,71.28,27.27,65.19,20.5,18.39,68.86,5.53,3.35,Letter2Future,Letter2Future,Letter2Future,BindingMoral,NOR
29,newzealand,74.04,26.03,65.65,20.02,37.32,95.31,4.98,3.47,PsychDistance,FutureSelfCont,SciConsens,SciConsens,NZL
33,peru,86.14,18.52,71.49,17.41,80.45,71.29,4.58,3.36,SystemJust,DynamicNorm,NegativeEmotions,Identity-Social-Norms-Intervention,PER
34,philippines,95.32,8.39,77.33,16.6,64.52,93.83,5.78,3.13,Identity-Social-Norms-Intervention,CollectAction,BindingMoral,DynamicNorm,PHL
35,poland,78.08,24.64,68.77,19.05,35.24,93.62,5.54,3.26,DynamicNorm,CollectAction,PsychDistance,SystemJust,POL
36,portugal,92.41,11.82,75.34,12.98,35.37,93.73,4.55,3.22,PsychDistance,PsychDistance,NegativeEmotions,CollectAction,PRT
37,romania,80.42,26.9,70.55,19.16,17.81,67.6,5.25,3.36,SciConsens,SciConsens,Letter2Future,CollectAction,ROU
38,russia,75.43,23.57,64.56,17.94,25.71,82.23,4.44,3.45,NegativeEmotions,CollectAction,NegativeEmotions,SciConsens,RUS
39,saudiarabia,69.76,25.31,62.73,21.17,81.32,69.48,5.61,3.27,DynamicNorm,Identity-Social-Norms-Intervention,BindingMoral,DynamicNorm,SAU
48,sudan,76.94,18.18,74.01,15.57,66.9,91.6,3.87,3.52,NegativeEmotions,NegativeEmotions,DynamicNorm,CollectAction,SDN
41,singapore,81.02,16.87,71.17,15.71,69.27,89.01,3.96,3.58,PsychDistance,SciConsens,SystemJust,BindingMoral,SGP
40,serbia,86.32,21.83,75.1,16.46,24.43,80.21,5.98,2.97,DynamicNorm,FutureSelfCont,Identity-Social-Norms-Intervention,CollectAction,SRB
42,slovakia,75.07,25.35,63.34,18.75,30.3,88.5,6.08,3.1,CollectAction,CollectAction,NegativeEmotions,Letter2Future,SVK
43,slovenia,75.71,23.2,68.52,17.23,53.39,99.67,3.55,3.37,PsychDistance,BindingMoral,PluralIgnorance,DynamicNorm,SVN
49,sweden,73.92,25.43,64.71,20.48,52.71,99.79,4.14,3.54,PsychDistance,PsychDistance,DynamicNorm,SciConsens,SWE
53,thailand,77.2,23.62,71.81,21.86,79.91,72.38,5.59,3.26,SystemJust,CollectAction,DynamicNorm,CollectAction,THA
54,turkey,89.08,16.89,81.03,16.85,48.14,99.9,5.21,3.34,DynamicNorm,BindingMoral,NegativeEmotions,SciConsens,TUR
51,taiwan,79.88,10.49,78.52,9.03,87.5,54.36,1.12,2.27,BindingMoral,Identity-Social-Norms-Intervention,DynamicNorm,FutureSelfCont,TWN
52,tanzania,87.78,17.77,72.56,19.58,82.02,67.96,4.06,3.4,DynamicNorm,SystemJust,BindingMoral,DynamicNorm,TZA
55,uganda,89.19,13.83,80.5,17.75,91.73,41.15,4.95,3.24,PsychDistance,DynamicNorm,DynamicNorm,CollectAction,UGA
57,ukraine,82.03,21.8,76.69,15.12,32.91,91.4,4.64,3.26,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,UKR
59,uruguay,87.56,17.24,76.73,15.24,67.7,90.77,5,3.4,FutureSelfCont,FutureSelfCont,NegativeEmotions,FutureSelfCont,URY
60,usa,70.62,29.68,65.45,24.13,60.47,96.81,4.79,3.52,PsychDistance,Letter2Future,Letter2Future,DynamicNorm,USA
61,venezuela,84.21,25.28,77.4,19.97,66.67,91.83,5.9,3.02,BindingMoral,FutureSelfCont,Letter2Future,SystemJust,VEN
62,vietnam,87.71,16.25,75.96,17.12,80.06,72.07,4.6,3.38,FutureSelfCont,FutureSelfCont,CollectAction,SciConsens,VNM
44,southafrica,84.51,20.55,72.85,18.28,77.09,77.64,4.77,3.51,CollectAction,CollectAction,CollectAction,SciConsens,ZAF
